 
   109.1400      5.4882631E-02  0.2960000     -1.0342873E-03  0.4725164    
  104.893257    0.052015    0.215000  532.777039   -0.000914    0.481218
  104.743729    0.052014    0.215000  534.236328   -0.000914    0.479890
  109.159698    0.054975    0.296000  474.265686   -0.001031    0.466792
  109.170509    0.054991    0.296000  471.021149   -0.001033    0.468226
   57.538864    0.055196    0.296000  257.276855   -0.001900    0.412520
  108.430084    0.054822    0.296000  459.093567   -0.001044    0.464903
  109.116745    0.055006    0.296000  471.631439   -0.001033    0.466404
  109.006828    0.054987    0.296000  473.831848   -0.001032    0.466956
  108.799232    0.055015    0.296000  472.159271   -0.001034    0.466620
  108.757614    0.054983    0.296000  471.487335   -0.001035    0.465665
  108.753021    0.054990    0.296000  471.512054   -0.001035    0.465227
  108.717377    0.054987    0.296000  471.011993   -0.001035    0.465511
  108.903282    0.054986    0.296000  471.168121   -0.001034    0.466318
  108.986588    0.054958    0.296000  470.399292   -0.001034    0.466866
  109.103210    0.054994    0.296000  469.507812   -0.001034    0.466901
  109.100433    0.055000    0.296000  469.253754   -0.001034    0.465983
  109.101433    0.055005    0.296000  469.121246   -0.001034    0.465445
  109.093750    0.054998    0.296000  469.177338   -0.001034    0.466519
  109.095802    0.054999    0.296000  469.165802   -0.001034    0.466409
  109.095543    0.054998    0.296000  469.154572   -0.001034    0.466217
  109.095810    0.054998    0.296000  469.076324   -0.001034    0.466500
  109.095535    0.054998    0.296000  469.042694   -0.001034    0.466327
